,state_usa,date_hur
83,Maryland Hurricane Sandy (DR-4091-MD),"Incident Period: October 26, 2012 - November 4, 2012"
84,Delaware Hurricane Sandy (DR-4090-DE),"Incident Period: October 27, 2012 - November 8, 2012"
85,Rhode Island Hurricane Sandy (DR-4089-RI),"Incident Period: October 26, 2012 - October 31, 2012"
86,New York Hurricane Sandy (DR-4085-NY),"Incident Period: October 27, 2012 - November 8, 2012"
87,New Jersey Hurricane Sandy (DR-4086-NJ),"Incident Period: October 26, 2012 - November 8, 2012"
88,Connecticut Hurricane Sandy (DR-4087-CT),"Incident Period: October 27, 2012 - November 8, 2012"
89,Florida Hurricane Isaac (DR-4084-FL),"Incident Period: August 27, 2012 - August 29, 2012"
90,Alabama Hurricane Isaac (DR-4082-AL),"Incident Period: August 26, 2012 - September 5, 2012"
91,Louisiana Hurricane Isaac (DR-4080-LA),"Incident Period: August 26, 2012 - September 10, 2012"
92,Mississippi Hurricane Isaac (DR-4081-MS),"Incident Period: August 26, 2012 - September 11, 2012"
93,Puerto Rico Tropical Storm Maria (DR-4040-PR),"Incident Period: September 8, 2011 - September 14, 2011"
94,Delaware Hurricane Irene (DR-4037-DE),"Incident Period: August 25, 2011 - August 31, 2011"
95,District of Columbia (DC) Hurricane Irene (DR-4036-DC),"Incident Period: August 26, 2011 - September 1, 2011"
96,Maryland Hurricane Irene (DR-4034-MD),"Incident Period: August 24, 2011 - September 5, 2011"
97,Maine Tropical Storm Irene (DR-4032-ME),"Incident Period: August 27, 2011 - August 29, 2011"
98,Virginia Hurricane Irene (DR-4024-VA),"Incident Period: August 26, 2011 - August 28, 2011"
99,Pennsylvania Hurricane Irene (DR-4025-PA),"Incident Period: August 26, 2011 - August 30, 2011"
100,New Hampshire Tropical Storm Irene (DR-4026-NH),"Incident Period: August 26, 2011 - September 6, 2011"
101,Rhode Island Tropical Storm Irene (DR-4027-RI),"Incident Period: August 27, 2011 - August 29, 2011"
102,Massachusetts Tropical Storm Irene (DR-4028-MA),"Incident Period: August 27, 2011 - August 29, 2011"
103,Connecticut Tropical Storm Irene (DR-4023-CT),"Incident Period: August 27, 2011 - September 1, 2011"
104,Vermont Tropical Storm Irene (DR-4022-VT),"Incident Period: August 27, 2011 - September 2, 2011"
105,North Carolina Hurricane Irene (DR-4019-NC),"Incident Period: August 25, 2011 - September 1, 2011"
106,New York Hurricane Irene (DR-4020-NY),"Incident Period: August 26, 2011 - September 5, 2011"
107,New Jersey Hurricane Irene (DR-4021-NJ),"Incident Period: August 27, 2011 - September 5, 2011"
108,Puerto Rico Hurricane Irene (DR-4017-PR),"Incident Period: August 21, 2011 - August 24, 2011"
109,Virgin Islands Hurricane Earl (DR-1939-VI),"Incident Period: August 29, 2010 - August 31, 2010"
110,Texas Hurricane Alex (DR-1931-TX),"Incident Period: June 30, 2010 - August 14, 2010"
111,Alabama Tropical Storm Ida (DR-1866-AL),"Incident Period: November 9, 2009 - November 10, 2009"
112,Virgin Islands Hurricane Omar (DR-1807-VI),"Incident Period: October 14, 2008 - October 16, 2008"
113,Florida Hurricane Gustav (DR-1806-FL),"Incident Period: August 31, 2008 - September 7, 2008"
114,Mississippi Hurricane Gustav (DR-1794-MS),"Incident Period: August 28, 2008 - September 8, 2008"
115,Arkansas Severe Storms and Flooding associated with Hurricane Gustav (DR-1793-AR),"Incident Period: September 2, 2008 - September 8, 2008"
116,Texas Hurricane Ike (DR-1791-TX),"Incident Period: September 7, 2008 - October 2, 2008"
117,Louisiana Hurricane Ike (DR-1792-LA),"Incident Period: September 11, 2008 - November 7, 2008"
118,Alabama Hurricane Gustav (DR-1789-AL),"Incident Period: August 29, 2008 - September 3, 2008"
119,Louisiana Hurricane Gustav (DR-1786-LA),"Incident Period: September 1, 2008 - September 11, 2008"
120,Texas Hurricane Dolly (DR-1780-TX),"Incident Period: July 22, 2008 - August 1, 2008"
121,Florida Hurricane Wilma (DR-1609-FL),"Incident Period: October 23, 2005 - November 18, 2005"
122,North Carolina Hurricane Ophelia (DR-1608-NC),"Incident Period: September 11, 2005 - September 17, 2005"
123,Texas Hurricane Rita (DR-1606-TX),"Incident Period: September 23, 2005 - October 14, 2005"
124,Louisiana Hurricane Rita (DR-1607-LA),"Incident Period: September 23, 2005 - November 1, 2005"
125,Louisiana Hurricane Katrina (DR-1603-LA),"Incident Period: August 29, 2005 - November 1, 2005"
126,Mississippi Hurricane Katrina (DR-1604-MS),"Incident Period: August 29, 2005 - October 14, 2005"
127,Alabama Hurricane Katrina (DR-1605-AL),"Incident Period: August 29, 2005 - September 26, 2005"
128,Florida Hurricane Katrina (DR-1602-FL),"Incident Period: August 24, 2005 - September 6, 2005"
129,Alabama Hurricane Dennis (DR-1593-AL),"Incident Period: July 10, 2005 - July 16, 2005"
130,Mississippi Hurricane Dennis (DR-1594-MS),"Incident Period: July 10, 2005 - July 15, 2005"
131,Florida Hurricane Dennis (DR-1595-FL),"Incident Period: July 7, 2005 - July 20, 2005"
132,South Carolina Tropical Storm Frances (DR-1566-SC),"Incident Period: September 6, 2004 - October 11, 2004"
133,Virgin Islands Tropical Storm Jeanne (DR-1567-VI),"Incident Period: September 14, 2004 - September 17, 2004"
134,Florida Hurricane Jeanne (DR-1561-FL),"Incident Period: September 24, 2004 - November 17, 2004"
135,Georgia Tropical Storm Frances (DR-1560-GA),"Incident Period: September 3, 2004 - October 30, 2004"
136,Pennsylvania Tropical Depression Ivan (DR-1557-PA),"Incident Period: September 17, 2004 - October 1, 2004"
137,North Carolina Hurricane Ivan (DR-1553-NC),"Incident Period: September 16, 2004 - September 23, 2004"
